,turnover
0,1106.0
1,1240.0
2,69128.57142857143
3,11118.923076923076
4,12576.875
5,1628.0
6,2788.0
7,1674.0
8,3774.0
9,6375.0
10,1004.0
11,1833.0
12,12979.857142857143
13,2412.0
14,2260.0
15,1240.6666666666667
16,1527.0
17,3171.1428571428573
18,2959.6666666666665
19,4662.0
20,1039.0
21,1866.0
22,1459.0
23,2058.0
24,1298.0
25,1742.857142857143
26,1205.0
27,2807.5
28,2720.6
29,2450.5
30,1981.0
31,2204.0
32,1502.6
33,11906.454545454546
34,97144.42857142857
35,1881.0
36,15330.0
37,6897.9
38,10543.0
39,1519.6666666666667
40,2535.0
41,12354.5
42,12293.0
43,10900.0
44,1245.0
45,1278.0
46,1388.5
47,1878.5
48,1378.5
49,3519.7272727272725
50,3749.153846153846
51,1552.2
52,1305.0
53,4772.166666666667
54,1018.0
55,58786.857142857145
56,1789.4
57,1563.909090909091
58,2379.1666666666665
59,1230.6666666666667
60,1205.4
61,1173.5
62,8413.225
63,1774.5384615384614
64,14293.923076923076
65,1392.05
66,1386.2857142857142
67,5102.625
68,9304.151515151516
69,1691.2692307692307
70,7763.076923076923
71,1773.8
72,7523.073170731707
73,2392.5185185185187
74,6240.4358974358975
75,2264.5
76,3586.133333333333
77,1406.0
78,1443.3846153846155
79,1563.909090909091
80,2213.68
81,3185.9347826086955
82,7122.0
83,4589.311111111111
84,8377.666666666666
85,2716.9411764705883
86,77276.05
87,1944.1
88,3066.2
89,2198.0
90,2100.6666666666665
91,1672.6666666666667
92,6191.8
93,1771.0
94,1699.3333333333333
95,7987.4
96,75322.8
97,12056.2
98,6064.0
99,1688.75
100,9270.8
101,7994.4
102,72137.0
103,9642.4
104,3539.8
105,5870.8
106,10796.6
107,1957.8
108,3882.0
109,3808.0
110,2397.0
111,1457.4
112,1184.3333333333333
113,2805.317073170732
114,2190.896551724138
115,1383.5
116,1645.3333333333333
117,2542.3793103448274
118,1258.0
119,8179.173913043478
120,8338.681818181818
121,3341.4146341463415
122,70828.21739130435
123,1905.3076923076924
124,9167.804347826086
125,1536.3461538461538
126,1358.5217391304348
127,2412.75
128,4281.325581395349
129,5024.933333333333
130,3447.4186046511627
131,1414.25
132,6016.533333333334
133,13897.826086956522
134,1662.5
135,7523.073170731707
136,2379.7428571428572
137,1454.0625
138,1147.0
139,1454.0625
140,6503.695652173913
141,1882.2
142,1352.4
143,6212.630434782609
144,1432.9
145,59374.739130434784
146,2327.3888888888887
147,1554.6666666666667
148,6331.121212121212
149,57478.757575757576
150,8478.46875
151,2310.5925925925926
152,1452.2857142857142
153,3586.133333333333
154,1668.6842105263158
155,9304.151515151516
156,1991.409090909091
157,2942.733333333333
158,7496.451612903225
159,8377.666666666666
160,2210.5
161,13362.454545454546
162,2582.76
163,8023.909090909091
164,4263.645161290323
165,8872.151515151516
166,1892.5833333333333
167,76790.39393939394
168,5220.71875
169,1885.4761904761904
170,1486.7
171,2196.3333333333335
172,1488.7272727272727
173,2715.4137931034484
174,2320.625
175,8427.46
176,2114.3823529411766
177,5651.52
178,7468.48
179,3092.0227272727275
180,2262.9473684210525
181,2968.7555555555555
182,52377.8
183,12751.28
